2.07571,2.04412,2.04413,2.05404
2.05694,2.0378,2.06078,2.03531
2.0611,2.02323,2.04829,2.0436
2.07355,2.0149,2.0358,2.04148
2.0798,2.01262,2.05662,2.00399
2.08812,2.02088,2.05662,2.02892
2.1002,2.01038,2.06911,2.05177
2.09394,2.01656,2.0358,2.05588
2.06058,2.01648,2.02956,2.08492
2.05433,2.01845,2.00666,2.06826
2.03491,2.03506,2.04829,2.07239
2.03282,2.04333,2.06495,2.06405
2.02656,2.0287,2.04829,2.07857
2.02656,2.01824,2.06078,2.04943
2.03669,2.03064,2.06286,2.09305
2.03252,2.01393,2.06703,2.08469
2.01376,2.02012,2.06703,2.08674
2.02209,2.02423,2.06703,2.0867
2.02,2.00956,2.05246,2.09496
2.01787,2.04286,2.06703,2.09494
2.02203,2.06159,2.05662,2.09907
2.00327,2.04893,2.05662,2.09695
1.99493,2.0468,2.06495,2.09069
1.99492,2.03839,2.06703,2.08234
1.99464,2.03628,2.08368,2.09271
1.9988,2.0383,2.06911,2.07604
1.97796,2.04031,2.07952,2.09265
1.97379,2.05067,2.12948,2.07394
1.98003,2.04422,2.05662,2.04275
1.98109,2.02756,2.06495,2.04271
